person_age,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_int_rate,credit_score,loan_status
26.0,361293.0,5,MORTGAGE,20000.0,7.88,684,0
23.0,361547.0,0,OWN,24250.0,19.41,637,0
26.0,360680.0,5,OWN,10000.0,10.38,649,0
26.0,360977.0,5,MORTGAGE,25000.0,15.33,695,0
25.0,361244.0,2,MORTGAGE,18000.0,16.45,620,0
26.0,98230.0,2,RENT,30000.0,7.49,622,1
22.0,80838.0,0,RENT,30000.0,12.69,645,1
26.0,107957.0,2,RENT,30000.0,6.62,654,1
24.0,94649.0,2,RENT,30000.0,11.01,624,1
23.0,94550.0,1,RENT,30000.0,18.62,570,1
23.0,111153.0,3,RENT,30000.0,15.23,648,1
23.0,117250.0,0,RENT,30000.0,10.65,652,1
25.0,144985.0,3,RENT,30000.0,7.9,559,0
26.0,337133.0,7,RENT,10000.0,15.96,623,0
26.0,333566.0,2,RENT,20000.0,11.48,602,0
23.0,333399.0,1,OWN,35000.0,11.01,609,0
25.0,154793.0,1,RENT,30000.0,7.29,573,0
24.0,15229.0,1,OWN,1750.0,11.01,631,0
21.0,158338.0,0,RENT,30000.0,5.99,623,0
22.0,331034.0,0,OWN,12000.0,11.58,602,0
26.0,316466.0,6,MORTGAGE,10000.0,11.01,579,1
25.0,267671.0,0,MORTGAGE,25000.0,15.7,582,1
22.0,85191.0,0,RENT,29100.0,15.99,700,1
22.0,15013.0,0,MORTGAGE,1500.0,14.84,688,0
26.0,313100.0,3,OWN,28000.0,10.99,607,0
25.0,311952.0,0,MORTGAGE,20000.0,14.42,661,0
24.0,306897.0,5,MORTGAGE,9600.0,6.99,562,0
25.0,301136.0,0,RENT,25000.0,13.49,664,0
25.0,15162.0,1,OWN,3000.0,11.01,564,1
22.0,69042.0,0,RENT,28000.0,11.01,598,1
21.0,15307.0,0,OWN,3000.0,13.61,557,1
23.0,79183.0,0,RENT,28000.0,7.9,677,1
26.0,102654.0,4,RENT,28000.0,7.49,690,1
26.0,15229.0,1,OWN,6100.0,7.51,599,1
22.0,106566.0,0,RENT,28000.0,9.91,604,1
21.0,15252.0,0,OWN,4200.0,13.48,663,1
22.0,15432.0,3,OWN,4750.0,7.14,601,1
24.0,100332.0,1,RENT,28000.0,15.99,634,1
24.0,300951.0,2,RENT,18000.0,12.98,671,0
144.0,300616.0,125,RENT,4800.0,13.57,789,0
25.0,121062.0,1,RENT,28000.0,12.69,622,0
26.0,133372.0,1,RENT,28000.0,8.9,538,0
26.0,15505.0,0,OWN,2700.0,11.01,587,1
22.0,130852.0,0,RENT,28000.0,11.01,683,1
23.0,182316.0,0,RENT,28000.0,11.11,634,0
24.0,83853.0,3,RENT,27600.0,11.01,690,1
21.0,15394.0,0,MORTGAGE,3250.0,15.68,518,1
22.0,85243.0,0,RENT,27500.0,13.06,583,1
22.0,288907.0,2,OWN,25000.0,11.01,617,0
26.0,89074.0,4,RENT,27050.0,15.62,668,1
24.0,100509.0,2,RENT,27000.0,13.49,673,1
24.0,88950.0,3,RENT,27000.0,11.01,706,1
23.0,75894.0,1,RENT,26000.0,11.71,536,1
23.0,145092.0,0,RENT,25600.0,12.69,557,0
24.0,15928.0,1,OWN,1600.0,13.57,689,0
22.0,73131.0,3,RENT,25475.0,10.99,681,1
25.0,281501.0,4,MORTGAGE,20000.0,14.27,623,0
24.0,281775.0,0,OWN,20000.0,8.88,595,0
26.0,281792.0,1,MORTGAGE,21600.0,12.18,584,0
25.0,266090.0,4,MORTGAGE,11900.0,14.42,669,1
26.0,279664.0,3,MORTGAGE,25000.0,14.17,642,0
25.0,277017.0,4,MORTGAGE,35000.0,13.99,622,0
23.0,100756.0,0,RENT,25300.0,10.99,689,1
22.0,16218.0,1,MORTGAGE,2000.0,5.42,614,1
25.0,16211.0,2,OWN,1750.0,13.61,597,0
21.0,51922.0,3,RENT,25000.0,12.73,673,1
24.0,50309.0,3,RENT,25000.0,11.01,625,1
25.0,16378.0,0,OWN,3000.0,12.87,603,1
24.0,16572.0,0,MORTGAGE,3650.0,9.91,589,1
26.0,272201.0,5,MORTGAGE,20000.0,11.49,670,0
25.0,271324.0,3,MORTGAGE,30000.0,19.91,637,0
26.0,256862.0,2,MORTGAGE,35000.0,10.65,643,1
24.0,271342.0,0,RENT,6000.0,11.01,508,0
24.0,16470.0,2,MORTGAGE,4500.0,11.83,643,1
23.0,16599.0,0,OWN,2400.0,13.49,505,1
22.0,51608.0,0,RENT,25000.0,14.59,593,1
26.0,58516.0,6,RENT,25000.0,9.64,686,1
25.0,16395.0,4,OWN,3600.0,14.59,646,1
22.0,16890.0,0,OWN,4750.0,11.01,645,1
25.0,51747.0,3,RENT,25000.0,16.35,697,1
21.0,59864.0,0,RENT,25000.0,10.99,648,1
25.0,270972.0,1,MORTGAGE,25000.0,18.67,640,0
26.0,270870.0,5,RENT,3000.0,9.32,681,0
23.0,270729.0,0,RENT,7500.0,8.63,646,0
26.0,270877.0,4,MORTGAGE,25000.0,10.08,615,0
22.0,60501.0,0,RENT,25000.0,11.83,687,1
23.0,60754.0,1,RENT,25000.0,7.9,650,1
25.0,60829.0,0,RENT,25000.0,5.99,588,1
24.0,53825.0,2,RENT,25000.0,15.33,652,1
23.0,60801.0,0,RENT,25000.0,11.83,658,1
22.0,60747.0,0,RENT,25000.0,10.36,634,1
22.0,61029.0,0,RENT,25000.0,12.23,623,1
22.0,63236.0,0,RENT,25000.0,11.11,635,1
23.0,17149.0,0,OWN,4950.0,7.9,531,1
24.0,265066.0,4,MORTGAGE,25000.0,11.58,665,0
23.0,260205.0,2,MORTGAGE,21000.0,8.9,703,0
25.0,260035.0,5,MORTGAGE,25000.0,16.07,585,0
26.0,260444.0,4,MORTGAGE,20000.0,14.22,594,0
23.0,258980.0,0,MORTGAGE,35000.0,14.79,618,0
26.0,259081.0,2,MORTGAGE,12000.0,7.88,626,0
23.0,63497.0,0,RENT,25000.0,13.22,695,1
26.0,56325.0,2,RENT,25000.0,11.86,690,1
22.0,64842.0,0,RENT,25000.0,13.43,574,1
26.0,57856.0,0,RENT,25000.0,15.28,602,1
23.0,57318.0,0,RENT,25000.0,17.93,679,1
23.0,16916.0,2,MORTGAGE,1400.0,9.25,615,0
21.0,16664.0,0,OWN,4500.0,12.98,601,1
22.0,252803.0,0,MORTGAGE,16000.0,10.62,577,0
26.0,253061.0,3,OWN,22000.0,11.83,588,0
26.0,58602.0,8,RENT,25000.0,18.43,595,1
22.0,67012.0,2,RENT,25000.0,11.01,653,1
24.0,66643.0,3,RENT,25000.0,11.01,663,1
23.0,66599.0,0,RENT,25000.0,11.36,653,1
23.0,67212.0,2,RENT,25000.0,15.65,598,1
24.0,66918.0,1,RENT,25000.0,13.22,630,1
26.0,68066.0,2,RENT,25000.0,12.87,637,1
24.0,245545.0,1,OWN,20000.0,13.04,660,0
23.0,229083.0,0,MORTGAGE,22000.0,17.58,639,1
23.0,17859.0,0,OWN,7750.0,17.04,626,1
24.0,72608.0,3,RENT,25000.0,10.99,612,1
24.0,73073.0,1,RENT,25000.0,11.11,628,1
26.0,65880.0,2,RENT,25000.0,14.83,592,1
23.0,17755.0,1,OWN,4000.0,11.01,580,1
24.0,241180.0,3,RENT,12000.0,12.69,634,0
24.0,240894.0,3,MORTGAGE,12000.0,13.49,678,0
21.0,240980.0,0,MORTGAGE,16000.0,14.65,557,0
25.0,65742.0,3,RENT,25000.0,16.82,672,1
23.0,72713.0,0,RENT,25000.0,12.73,613,1
23.0,72627.0,3,RENT,25000.0,10.25,566,1
21.0,72843.0,0,RENT,25000.0,10.99,718,1
25.0,75504.0,4,RENT,25000.0,12.73,484,1
22.0,68824.0,0,RENT,25000.0,14.96,634,1
23.0,241167.0,2,MORTGAGE,28000.0,11.01,653,0
21.0,241060.0,0,MORTGAGE,25000.0,13.99,699,0
24.0,240855.0,0,MORTGAGE,24000.0,7.49,656,0
26.0,241030.0,3,MORTGAGE,15000.0,14.79,626,0
25.0,240895.0,2,MORTGAGE,15500.0,11.99,659,0
24.0,240932.0,4,RENT,10000.0,8.49,604,0
24.0,80145.0,1,RENT,25000.0,9.91,636,1
22.0,80303.0,0,RENT,25000.0,13.06,554,1
22.0,241048.0,0,MORTGAGE,9000.0,6.17,587,0
144.0,241424.0,121,MORTGAGE,6000.0,11.86,807,0
25.0,241005.0,4,RENT,18000.0,16.32,708,0
25.0,240768.0,2,MORTGAGE,12000.0,10.38,669,0
25.0,241201.0,2,MORTGAGE,23050.0,14.35,578,0
24.0,240920.0,5,MORTGAGE,20000.0,11.01,615,0
24.0,72919.0,1,RENT,25000.0,11.01,553,1
21.0,18008.0,0,OWN,3000.0,11.01,635,1
26.0,81238.0,3,RENT,25000.0,15.21,531,1
23.0,80868.0,1,RENT,25000.0,7.9,621,1
24.0,81537.0,1,RENT,25000.0,10.99,674,1
24.0,82741.0,0,RENT,25000.0,14.09,688,1
25.0,83901.0,3,RENT,25000.0,17.49,597,1
25.0,240717.0,1,MORTGAGE,12000.0,11.48,640,0
26.0,226744.0,0,MORTGAGE,20000.0,17.74,621,1
26.0,241114.0,5,MORTGAGE,3000.0,13.92,608,0
25.0,85284.0,3,RENT,25000.0,15.21,653,1
22.0,18152.0,0,OWN,4000.0,10.99,585,1
24.0,84871.0,3,RENT,25000.0,11.86,569,1
24.0,18294.0,2,OWN,6000.0,7.49,587,1
24.0,68029.0,1,RENT,25000.0,16.49,631,1
25.0,80001.0,4,RENT,25000.0,15.33,592,1
26.0,79875.0,6,RENT,25000.0,11.58,679,1
25.0,18449.0,1,OWN,5375.0,5.79,645,1
25.0,88153.0,0,RENT,25000.0,13.11,669,1
23.0,90109.0,0,RENT,25000.0,10.36,653,1
25.0,90938.0,1,RENT,25000.0,10.36,577,1
24.0,231335.0,0,RENT,22000.0,11.01,668,0
21.0,231829.0,0,MORTGAGE,20000.0,6.54,629,0
25.0,230516.0,4,MORTGAGE,10000.0,12.53,643,0
26.0,229626.0,0,MORTGAGE,15000.0,11.01,626,0
22.0,228907.0,0,MORTGAGE,10000.0,11.01,560,0
24.0,90938.0,0,RENT,25000.0,10.25,648,1
22.0,86284.0,0,RENT,25000.0,15.95,648,1
26.0,228774.0,3,MORTGAGE,20000.0,12.18,669,0
23.0,229027.0,2,OWN,24000.0,11.83,536,0
23.0,94789.0,1,RENT,25000.0,11.01,548,1
23.0,94780.0,0,RENT,25000.0,10.62,667,1
23.0,95298.0,0,RENT,25000.0,10.74,676,1
25.0,223944.0,1,OWN,10000.0,10.25,570,0
24.0,222629.0,0,MORTGAGE,35000.0,12.42,623,0
25.0,222973.0,2,RENT,15000.0,15.27,652,0
24.0,75240.0,1,RENT,25000.0,15.33,625,1
23.0,96143.0,1,RENT,25000.0,15.21,642,1
21.0,18064.0,0,OWN,6250.0,14.72,580,1
24.0,96627.0,2,RENT,25000.0,15.7,622,1
24.0,96309.0,3,RENT,25000.0,13.35,581,1
21.0,18421.0,1,MORTGAGE,1500.0,11.01,623,0
24.0,96836.0,1,RENT,25000.0,6.62,583,1
26.0,96947.0,4,RENT,25000.0,13.61,645,1
22.0,222975.0,2,RENT,25000.0,11.36,593,0
26.0,222985.0,3,OWN,5000.0,7.68,659,0
24.0,223064.0,0,RENT,22000.0,14.46,655,0
23.0,221559.0,2,OWN,2500.0,11.83,583,0
24.0,207712.0,0,MORTGAGE,20000.0,13.47,582,1
24.0,220872.0,1,MORTGAGE,20000.0,11.49,504,0
22.0,220518.0,0,MORTGAGE,1000.0,11.01,551,0
25.0,220510.0,1,MORTGAGE,15000.0,6.03,529,0
23.0,89818.0,0,RENT,25000.0,16.35,674,1
26.0,90006.0,4,RENT,25000.0,11.01,595,1
25.0,98704.0,6,RENT,25000.0,7.29,597,1
23.0,98967.0,5,RENT,25000.0,11.36,566,1
24.0,99435.0,3,RENT,25000.0,10.25,666,0
24.0,100658.0,1,RENT,25000.0,11.12,695,0
24.0,100435.0,2,RENT,25000.0,12.92,576,0
24.0,216925.0,5,RENT,18000.0,18.64,651,0
23.0,216891.0,0,MORTGAGE,28000.0,7.51,633,0
23.0,18512.0,1,OWN,4000.0,16.7,566,1
22.0,18367.0,0,OWN,2100.0,11.14,583,0
22.0,102317.0,0,RENT,25000.0,18.3,586,0
24.0,103400.0,4,RENT,25000.0,10.62,592,0
24.0,217134.0,2,MORTGAGE,14000.0,11.99,598,0
26.0,217024.0,1,MORTGAGE,12000.0,9.63,637,0
25.0,172215.0,5,MORTGAGE,10000.0,18.25,628,1
23.0,18831.0,0,MORTGAGE,6000.0,11.01,667,1
24.0,105349.0,5,RENT,25000.0,14.84,621,0
24.0,91184.0,1,RENT,25000.0,14.7,668,1
23.0,91886.0,1,RENT,25000.0,16.02,544,1
23.0,80452.0,2,RENT,25000.0,15.37,699,1
25.0,108758.0,2,RENT,25000.0,10.99,611,0
21.0,18916.0,0,OWN,6200.0,7.9,615,1
26.0,217234.0,5,OWN,25000.0,10.99,559,0
24.0,217017.0,0,OWN,21000.0,11.48,577,0
25.0,216874.0,1,OWN,20000.0,14.26,657,0
26.0,216833.0,5,OWN,10000.0,8.0,676,0
25.0,216483.0,0,MORTGAGE,9950.0,11.26,601,0
23.0,19000.0,2,OWN,4475.0,11.01,647,1
23.0,94363.0,0,RENT,25000.0,16.32,576,1
25.0,80570.0,3,RENT,25000.0,17.93,612,1
23.0,109167.0,0,RENT,25000.0,11.36,678,0
24.0,95753.0,1,RENT,25000.0,14.96,542,1
24.0,110935.0,1,RENT,25000.0,13.43,709,0
25.0,111490.0,2,RENT,25000.0,12.69,622,0
24.0,111729.0,4,RENT,25000.0,12.73,642,0
23.0,113396.0,0,RENT,25000.0,15.21,660,0
23.0,19175.0,1,MORTGAGE,1750.0,12.68,587,0
23.0,85787.0,0,RENT,25000.0,19.04,646,1
25.0,102114.0,7,RENT,25000.0,15.95,637,1
26.0,211005.0,5,MORTGAGE,2600.0,8.9,718,0
25.0,210903.0,4,MORTGAGE,8000.0,7.9,588,0
22.0,210555.0,0,MORTGAGE,18000.0,11.01,652,0
23.0,210937.0,0,MORTGAGE,21000.0,11.99,620,0
23.0,19062.0,2,OWN,4000.0,13.98,667,1
23.0,18926.0,0,OWN,4600.0,10.99,688,1
22.0,106694.0,0,RENT,25000.0,15.58,667,1
25.0,90718.0,4,RENT,25000.0,10.99,692,1
25.0,106668.0,1,RENT,25000.0,14.96,562,1
25.0,19158.0,4,OWN,1750.0,15.31,625,0
26.0,106419.0,5,RENT,25000.0,15.65,649,1
25.0,120696.0,3,RENT,25000.0,9.33,545,0
23.0,19065.0,3,MORTGAGE,3600.0,13.47,540,1
24.0,124083.0,0,RENT,25000.0,10.36,637,0
24.0,111673.0,4,RENT,25000.0,16.77,600,1
23.0,112633.0,1,RENT,25000.0,14.59,633,1
22.0,210938.0,0,RENT,3500.0,11.91,588,0
23.0,210720.0,2,MORTGAGE,7200.0,8.38,624,0
25.0,210705.0,7,RENT,9000.0,10.59,525,0
25.0,209997.0,3,MORTGAGE,8800.0,14.27,616,0
26.0,209873.0,3,RENT,12000.0,12.53,675,0
25.0,195268.0,1,MORTGAGE,25000.0,16.0,662,1
26.0,209393.0,2,MORTGAGE,10000.0,11.71,585,0
21.0,18773.0,0,OWN,3175.0,11.54,686,1
25.0,116439.0,2,RENT,25000.0,15.68,595,1
21.0,19169.0,2,MORTGAGE,1500.0,10.59,537,0
24.0,118417.0,0,RENT,25000.0,12.61,625,1
26.0,133476.0,0,RENT,25000.0,11.01,641,0
23.0,19312.0,4,MORTGAGE,2800.0,8.49,661,1
25.0,192351.0,1,RENT,30000.0,17.27,577,1
24.0,206648.0,4,RENT,18000.0,8.9,537,0
25.0,205046.0,6,MORTGAGE,10000.0,11.11,646,0
24.0,190735.0,1,RENT,25000.0,14.59,653,1
26.0,204872.0,3,RENT,13000.0,12.42,654,0
24.0,100758.0,0,RENT,25000.0,11.01,635,1
24.0,133231.0,3,RENT,25000.0,15.7,675,0
22.0,18923.0,0,OWN,2500.0,12.53,618,1
25.0,161894.0,0,RENT,5000.0,16.49,609,1
25.0,205144.0,0,MORTGAGE,20000.0,7.49,545,0
22.0,121617.0,2,RENT,25000.0,14.96,629,1
25.0,136206.0,6,RENT,25000.0,12.73,539,0
24.0,144915.0,4,RENT,25000.0,10.65,593,0
25.0,145233.0,3,RENT,25000.0,10.74,683,0
23.0,145002.0,1,RENT,25000.0,9.99,670,0
24.0,110953.0,0,RENT,25000.0,15.33,662,1
21.0,19414.0,2,OWN,1000.0,7.29,681,0
26.0,130096.0,1,RENT,25000.0,15.05,636,1
26.0,157292.0,0,RENT,25000.0,10.75,677,0
23.0,156995.0,3,RENT,25000.0,16.02,656,0
23.0,156952.0,0,RENT,25000.0,11.49,674,0
25.0,205005.0,6,OWN,20000.0,12.53,587,0
26.0,205060.0,2,MORTGAGE,12000.0,13.57,658,0
22.0,203782.0,4,RENT,14000.0,11.14,581,0
26.0,203368.0,3,RENT,24250.0,12.87,606,0
23.0,203403.0,0,RENT,20000.0,11.58,648,0
24.0,202715.0,3,RENT,1800.0,11.12,563,0
25.0,202525.0,1,MORTGAGE,35000.0,10.65,589,0
24.0,161487.0,1,RENT,25000.0,10.37,641,0
24.0,19677.0,3,OWN,3300.0,6.39,637,1
24.0,161952.0,2,RENT,25000.0,16.07,578,0
25.0,161560.0,0,RENT,25000.0,10.62,660,0
25.0,19423.0,3,OWN,3200.0,18.09,586,1
25.0,163134.0,5,RENT,25000.0,11.36,567,0
26.0,163683.0,5,RENT,25000.0,12.53,582,0
25.0,174972.0,3,RENT,25000.0,9.99,712,0
23.0,181016.0,4,RENT,25000.0,10.36,674,0
23.0,198920.0,0,MORTGAGE,9600.0,5.99,532,0
22.0,184800.0,1,MORTGAGE,24000.0,15.62,670,1
24.0,198862.0,6,MORTGAGE,20000.0,10.37,658,0
25.0,199407.0,0,MORTGAGE,25000.0,19.74,669,0
21.0,198803.0,0,MORTGAGE,20000.0,6.91,681,0
23.0,20044.0,3,OWN,6000.0,7.9,618,1
23.0,20401.0,4,MORTGAGE,2275.0,13.06,573,0
23.0,19859.0,0,OWN,2000.0,6.39,491,0
23.0,178660.0,2,RENT,25000.0,14.93,590,1
23.0,20421.0,0,MORTGAGE,5600.0,12.84,587,1
24.0,20353.0,2,OWN,3625.0,17.14,648,1
22.0,20297.0,0,MORTGAGE,5500.0,7.14,687,1
25.0,210932.0,0,RENT,25000.0,8.9,621,0
22.0,20405.0,0,OWN,2000.0,12.42,590,0
24.0,223194.0,0,RENT,25000.0,12.68,676,0
25.0,195560.0,0,RENT,25000.0,11.03,677,0
26.0,194140.0,6,RENT,30000.0,7.9,651,0
22.0,193337.0,0,MORTGAGE,35000.0,10.65,602,0
25.0,270992.0,2,RENT,25000.0,11.86,652,0
25.0,20221.0,5,OWN,5000.0,8.94,572,1
23.0,20678.0,0,OWN,4375.0,9.63,528,1
25.0,60742.0,3,RENT,24750.0,14.22,638,1
23.0,72805.0,2,RENT,24750.0,9.33,655,1
24.0,102011.0,3,RENT,24500.0,13.85,627,0
22.0,20896.0,0,MORTGAGE,2000.0,10.65,596,0
24.0,111283.0,0,RENT,24500.0,11.46,694,0
23.0,192873.0,0,MORTGAGE,35000.0,7.66,684,0
24.0,193174.0,0,MORTGAGE,12000.0,16.77,547,0
25.0,193249.0,0,MORTGAGE,12000.0,9.63,586,0
26.0,192954.0,5,RENT,25000.0,12.23,694,0
25.0,152227.0,2,MORTGAGE,10000.0,14.09,639,1
25.0,65399.0,0,RENT,24250.0,13.98,663,1
23.0,75928.0,4,RENT,24250.0,10.62,528,1
24.0,21627.0,0,MORTGAGE,3900.0,11.01,636,1
25.0,83235.0,3,RENT,24250.0,17.56,603,1
26.0,68297.0,3,RENT,24250.0,14.96,507,1
22.0,89977.0,3,RENT,24250.0,15.65,692,1
24.0,79510.0,2,RENT,24250.0,15.7,604,1
24.0,109050.0,5,RENT,24250.0,12.53,622,0
26.0,94635.0,2,RENT,24250.0,17.56,643,1
23.0,120966.0,0,RENT,24250.0,12.87,565,0
23.0,124437.0,0,RENT,24250.0,15.7,718,0
25.0,193147.0,3,MORTGAGE,9000.0,11.01,625,0
25.0,192914.0,0,OWN,15000.0,11.14,614,0
24.0,192806.0,2,MORTGAGE,20000.0,16.0,690,0
23.0,193097.0,0,MORTGAGE,25000.0,15.65,564,0
26.0,193082.0,5,MORTGAGE,13750.0,11.01,579,0
21.0,192841.0,1,MORTGAGE,15250.0,15.31,648,0
25.0,193300.0,3,MORTGAGE,20000.0,13.47,531,0
22.0,21205.0,0,MORTGAGE,4750.0,13.85,658,1
25.0,135292.0,3,RENT,24250.0,11.01,574,0
21.0,21363.0,2,MORTGAGE,6000.0,10.39,671,1
25.0,139035.0,7,RENT,24250.0,11.36,633,0
23.0,173511.0,0,RENT,24250.0,11.83,631,0
23.0,345520.0,0,RENT,24250.0,12.53,652,0
22.0,130762.0,3,RENT,24150.0,14.96,683,1
22.0,52596.0,0,RENT,24000.0,13.85,693,1
23.0,57326.0,2,RENT,24000.0,11.58,603,1
24.0,58262.0,1,RENT,24000.0,16.29,522,1
26.0,58620.0,4,RENT,24000.0,11.01,664,1
21.0,55113.0,0,RENT,24000.0,16.29,645,1
25.0,63361.0,2,RENT,24000.0,10.74,592,1
22.0,22107.0,4,MORTGAGE,2250.0,15.27,636,0
24.0,57356.0,3,RENT,24000.0,17.8,672,1
22.0,21790.0,0,MORTGAGE,1000.0,11.36,686,0
22.0,59680.0,0,RENT,24000.0,17.56,590,1
26.0,72720.0,2,RENT,24000.0,7.9,636,1
25.0,73024.0,5,RENT,24000.0,10.99,580,1
22.0,73110.0,0,RENT,24000.0,7.29,674,1
21.0,72902.0,0,RENT,24000.0,10.75,601,1
26.0,75416.0,4,RENT,24000.0,7.9,620,1
22.0,75959.0,0,RENT,24000.0,14.84,642,1
26.0,79222.0,7,RENT,24000.0,11.01,616,1
22.0,21824.0,0,MORTGAGE,4975.0,11.01,588,1
23.0,71875.0,1,RENT,24000.0,19.69,585,1
23.0,80313.0,1,RENT,24000.0,11.01,632,1
24.0,72647.0,5,RENT,24000.0,14.96,556,1
25.0,80492.0,4,RENT,24000.0,6.99,602,1
22.0,75646.0,0,RENT,24000.0,16.45,639,1
24.0,85223.0,3,RENT,24000.0,10.99,603,1
23.0,89735.0,2,RENT,24000.0,10.99,689,1
22.0,22364.0,4,OWN,3000.0,7.9,672,1
22.0,90780.0,2,RENT,24000.0,12.69,499,1
24.0,90889.0,1,RENT,24000.0,10.37,643,1
24.0,90911.0,2,RENT,24000.0,11.01,589,1
26.0,83953.0,2,RENT,24000.0,15.83,646,1
23.0,94644.0,1,RENT,24000.0,13.92,613,1
22.0,22616.0,0,OWN,2000.0,11.49,567,0
24.0,96989.0,4,RENT,24000.0,10.25,603,0
22.0,22867.0,3,OWN,3500.0,7.49,647,1
23.0,22583.0,1,OWN,4000.0,5.99,645,1
23.0,90900.0,0,RENT,24000.0,12.92,672,1
26.0,107641.0,6,RENT,24000.0,11.58,648,0
25.0,114870.0,4,RENT,24000.0,8.9,653,0
22.0,100479.0,0,RENT,24000.0,19.69,590,1
25.0,114958.0,2,RENT,24000.0,6.54,704,0
21.0,22882.0,0,OWN,4900.0,14.54,674,1
21.0,22392.0,0,OWN,5000.0,11.11,594,1
26.0,120498.0,5,RENT,24000.0,12.73,626,0
24.0,132873.0,2,RENT,24000.0,15.62,701,0
24.0,22635.0,3,OWN,6250.0,6.54,602,1
22.0,118299.0,0,RENT,24000.0,11.01,503,1
26.0,125665.0,5,RENT,24000.0,20.0,657,1
22.0,144904.0,0,RENT,24000.0,9.91,638,0
24.0,144882.0,2,RENT,24000.0,12.69,646,0
26.0,130649.0,4,RENT,24000.0,20.0,678,1
24.0,149622.0,4,RENT,24000.0,16.49,684,0
23.0,22957.0,1,MORTGAGE,2500.0,15.95,594,1
24.0,157225.0,1,RENT,24000.0,11.49,538,0
25.0,163004.0,3,RENT,24000.0,10.99,662,0
24.0,163035.0,2,RENT,24000.0,13.79,636,0
23.0,138731.0,0,RENT,24000.0,20.0,613,1
23.0,180804.0,1,RENT,24000.0,7.49,573,0
23.0,166378.0,0,RENT,24000.0,16.0,714,1
24.0,22684.0,0,OWN,13000.0,7.88,640,1
21.0,22366.0,0,OWN,6250.0,10.62,637,1
26.0,187161.0,7,RENT,24000.0,10.99,633,0
26.0,178439.0,0,RENT,24000.0,18.3,615,1
26.0,204962.0,2,RENT,24000.0,11.01,552,0
21.0,22673.0,0,OWN,2500.0,11.36,670,0
24.0,53633.0,4,RENT,23975.0,11.01,678,1
23.0,144983.0,2,RENT,23750.0,13.47,676,0
24.0,67032.0,2,RENT,23600.0,11.89,624,1
24.0,22664.0,0,MORTGAGE,10000.0,12.18,649,1
25.0,123299.0,0,RENT,23600.0,13.49,555,0
23.0,91275.0,0,RENT,23575.0,14.5,613,1
22.0,22564.0,1,OWN,4000.0,11.01,684,1
22.0,22786.0,0,OWN,5400.0,15.31,647,1
25.0,22450.0,4,MORTGAGE,4000.0,11.01,580,1
21.0,22666.0,0,OWN,3375.0,11.01,630,1
22.0,81701.0,1,RENT,23400.0,7.49,589,1
22.0,52984.0,0,RENT,23000.0,11.01,621,1
25.0,68579.0,1,RENT,23000.0,11.01,665,1
23.0,73014.0,0,RENT,23000.0,12.18,668,1
